Stazione, Milano Pascal Città Studi
-999 Valore mancante o invalido

Data/Ora, Particelle sospese PM2.5 - µg/m³
2022/04/18,9
2022/04/19,12
2022/04/20,11
2022/04/21,9
2022/04/22,12
2022/04/23,15
2022/04/24,4
2022/04/25,5
2022/04/26,10
2022/04/27,11
2022/04/28,8
2022/04/29,12
2022/04/30,12
2022/05/01,8
2022/05/02,10
2022/05/03,11
2022/05/04,12
2022/05/05,15
2022/05/06,8
2022/05/07,11
2022/05/08,8
2022/05/09,14
2022/05/10,15
2022/05/11,14
2022/05/12,11
2022/05/13,10
2022/05/14,12
2022/05/15,15
2022/05/16,11
2022/05/17,12
2022/05/18,12
2022/05/19,11
2022/05/20,15
2022/05/21,13
2022/05/22,12
2022/05/23,11
2022/05/24,14
2022/05/25,10
2022/05/26,14
2022/05/27,16
2022/05/28,14
2022/05/29,6
2022/05/30,7
2022/05/31,16
2022/06/01,16
2022/06/02,15
2022/06/03,15
2022/06/04,10
2022/06/05,13
2022/06/06,9
2022/06/07,7
2022/06/08,6
2022/06/09,6
2022/06/10,6
2022/06/11,10
2022/06/12,11
2022/06/13,14
2022/06/14,-999
2022/06/15,-999
2022/06/16,-999
2022/06/17,-999
2022/06/18,-999
2022/06/19,14
2022/06/20,16
2022/06/21,-999
2022/06/22,-999
2022/06/23,-999
2022/06/24,7
2022/06/25,8
2022/06/26,12
2022/06/27,15
2022/06/28,-999
2022/06/29,9
2022/06/30,-999
2022/07/01,-999
2022/07/02,13
2022/07/03,15
2022/07/04,13
2022/07/05,10
2022/07/06,9
2022/07/07,12
2022/07/08,9
2022/07/09,8
2022/07/10,9
2022/07/11,9
2022/07/12,9
2022/07/13,10
2022/07/14,16
2022/07/15,15
2022/07/16,13
2022/07/17,13
2022/07/18,15
2022/07/19,14
2022/07/20,13
2022/07/21,16
2022/07/22,17
2022/07/23,15
2022/07/24,16
2022/07/25,17
2022/07/26,13
2022/07/27,8
2022/07/28,10
2022/07/29,9
2022/07/30,8
2022/07/31,9
2022/08/01,10
2022/08/02,9
2022/08/03,10
2022/08/04,11
2022/08/05,12
2022/08/06,10
2022/08/07,7
2022/08/08,8
2022/08/09,11
2022/08/10,11
2022/08/11,10
2022/08/12,9
2022/08/13,7
2022/08/14,8
2022/08/15,10
2022/08/16,9
2022/08/17,12
2022/08/18,8
2022/08/19,6
2022/08/20,7
2022/08/21,7
2022/08/22,8
2022/08/23,-999
2022/08/24,-999
2022/08/25,-999
2022/08/26,11
2022/08/27,8
2022/08/28,9
2022/08/29,-999
2022/08/30,-999
2022/08/31,10
2022/09/01,7
2022/09/02,9
2022/09/03,10
2022/09/04,13
2022/09/05,13
2022/09/06,11
2022/09/07,14
2022/09/08,9
2022/09/09,8
2022/09/10,8
2022/09/11,8
2022/09/12,7
2022/09/13,11
2022/09/14,9
2022/09/15,9
2022/09/16,12
2022/09/17,6
2022/09/18,3
2022/09/19,6
2022/09/20,6
2022/09/21,6
2022/09/22,8
2022/09/23,11
2022/09/24,16
2022/09/25,11
2022/09/26,10
2022/09/27,10
2022/09/28,9
2022/09/29,11
2022/09/30,6
2022/10/01,8
2022/10/02,8
2022/10/03,13
2022/10/04,24
2022/10/05,28
2022/10/06,42
2022/10/07,31
2022/10/08,29
2022/10/09,27
2022/10/10,14
2022/10/11,18
2022/10/12,22
2022/10/13,35
2022/10/14,49
2022/10/15,58
2022/10/16,45
2022/10/17,44
2022/10/18,36
2022/10/19,36
2022/10/20,35
2022/10/21,24
2022/10/22,20
2022/10/23,11
2022/10/24,18
2022/10/25,17
2022/10/26,19
2022/10/27,28
2022/10/28,27
2022/10/29,24
2022/10/30,22
2022/10/31,22
2022/11/01,17
2022/11/02,23
2022/11/03,18
2022/11/04,7
2022/11/05,15
2022/11/06,19
2022/11/07,25
2022/11/08,28
2022/11/09,27
2022/11/10,29
2022/11/11,30
2022/11/12,27
2022/11/13,19
2022/11/14,20
2022/11/15,18
2022/11/16,12
2022/11/17,28
2022/11/18,23
2022/11/19,26
2022/11/20,23
2022/11/21,34
2022/11/22,14
2022/11/23,20
2022/11/24,21
2022/11/25,36
2022/11/26,47
2022/11/27,26
2022/11/28,28
2022/11/29,29
2022/11/30,40
2022/12/01,36
2022/12/02,24
2022/12/03,21
2022/12/04,9
2022/12/05,13
2022/12/06,23
2022/12/07,38
2022/12/08,36
2022/12/09,22
2022/12/10,20
2022/12/11,-999
2022/12/12,-999
2022/12/13,-999
2022/12/14,-999
2022/12/15,-999
2022/12/16,-999
2022/12/17,20
2022/12/18,28
2022/12/19,35
2022/12/20,37
2022/12/21,30
2022/12/22,37
2022/12/23,49
2022/12/24,51
2022/12/25,47
2022/12/26,37
2022/12/27,37
2022/12/28,42
2022/12/29,44
2022/12/30,28
2022/12/31,37
2023/01/01,48
2023/01/02,21
2023/01/03,14
2023/01/04,21
2023/01/05,21
2023/01/06,25
2023/01/07,20
2023/01/08,16
2023/01/09,9
2023/01/10,6
2023/01/11,28
2023/01/12,40
2023/01/13,48
2023/01/14,37
2023/01/15,43
2023/01/16,27
2023/01/17,19
2023/01/18,26
2023/01/19,14
2023/01/20,23
2023/01/21,12
2023/01/22,21
2023/01/23,31
2023/01/24,14
2023/01/25,23
2023/01/26,25
2023/01/27,19
2023/01/28,32
2023/01/29,31
2023/01/30,34
2023/01/31,50
2023/02/01,23
2023/02/02,15
2023/02/03,20
2023/02/04,23
2023/02/05,6
2023/02/06,9
2023/02/07,17
2023/02/08,27
2023/02/09,17
2023/02/10,36
2023/02/11,43
2023/02/12,43
2023/02/13,45
2023/02/14,49
2023/02/15,57
2023/02/16,32
2023/02/17,17
2023/02/18,13
2023/02/19,17
2023/02/20,48
2023/02/21,36
2023/02/22,47
2023/02/23,43
2023/02/24,38
2023/02/25,21
2023/02/26,9
2023/02/27,8
2023/02/28,15
2023/03/01,21
2023/03/02,20
2023/03/03,21
2023/03/04,29
2023/03/05,31
2023/03/06,16
2023/03/07,14
2023/03/08,15
2023/03/09,13
2023/03/10,18
2023/03/11,4
2023/03/12,14
2023/03/13,15
2023/03/14,18
2023/03/15,4
2023/03/16,10
2023/03/17,16
2023/03/18,26
2023/03/19,30
2023/03/20,35
2023/03/21,43
2023/03/22,31
2023/03/23,8
2023/03/24,6
2023/03/25,7
2023/03/26,13
2023/03/27,5
2023/03/28,4
2023/03/29,7
2023/03/30,7
2023/03/31,10
2023/04/01,6
2023/04/02,11
2023/04/03,11
2023/04/04,8
2023/04/05,11
2023/04/06,15
2023/04/07,17
2023/04/08,18
2023/04/09,11
2023/04/10,8
2023/04/11,10
2023/04/12,14
2023/04/13,11
2023/04/14,5
2023/04/15,8
2023/04/16,6
2023/04/17,5
